Code,Longitude,Latitude,County,State,City,Name,ID2,ID,Depart,
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1100.5,1101,0,0
CHA,-85.20378778,35.03526833,USA,TN,Chattanooga,Lovell,1101,1101,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1101.5,1102,0,0
CHO,-78.45286111,38.13863889,USA,VA,Charlottesville,Charlottesville-Albermarle,1102,1102,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1102.5,1103,0,0
CHS,-80.04050583,32.89864639,USA,SC,Charleston,Charleston AFB/International,1103,1103,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1103.5,1104,0,0
CID,-91.71087222,41.88458833,USA,IA,Cedar Rapids,Eastern Iowa,1104,1104,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1104.5,1105,0,0
CLE,-81.84939667,41.41089417,USA,OH,Cleveland,Cleveland-Hopkins Intl,1105,1105,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1105.5,1106,0,0
CLT,-80.94312583,35.21401111,USA,NC,Charlotte,Charlotte/Douglas International,1106,1106,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1106.5,1107,0,0
CMH,-82.89188278,39.99798528,USA,OH,Columbus,Port Columbus Intl,1107,1107,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1107.5,1108,0,0
COS,-104.70025,38.80580556,USA,CO,Colorado Springs,City of Colorado Springs Muni,1108,1108,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1108.5,1109,0,0
CRW,-81.59318972,38.37315083,USA,WV,Charleston,Yeager,1109,1109,1,0
CVG,-84.6621725,39.04614278,USA,KY,Covington,Cincinnati Northern Kentucky Intl,1109.5,1110,0,0
DAB,-81.05805556,29.17991667,USA,FL,Daytona Beach,Daytona Beach International,1110,1110,1,0
